team,image,api_id,color
Criciuma,https://assets.b365api.com/images/team/b/1984.png,3164,#FFD700
Internacional,https://assets.b365api.com/images/team/b/1966.png,1422,#FF0000
Corinthians,https://assets.b365api.com/images/team/b/1957.png,4128,#EF1C23
Vitoria,https://assets.b365api.com/images/team/b/1962.png,1419,#DA291C
Fluminense,https://assets.b365api.com/images/team/b/1961.png,1286,#830B32
Sao Paulo,https://assets.b365api.com/images/team/b/1981.png,1314,#FF0000
Vasco da Gama,https://assets.b365api.com/images/team/b/1974.png,56101,#000000
Atletico GO,https://assets.b365api.com/images/team/b/7314.png,2052,#EA232D
Cruzeiro,https://assets.b365api.com/images/team/b/1954.png,577,#0033A1
Athletico Paranaense,https://assets.b365api.com/images/team/b/1967.png,266701,#8D1B3D
EC Juventude,https://assets.b365api.com/images/team/b/1980.png,1427,#009539
Gremio,https://assets.b365api.com/images/team/b/5926.png,1312,#0073CF
Atletico Mineiro,https://assets.b365api.com/images/team/b/1977.png,1313,#000000
EC Bahia,https://assets.b365api.com/images/team/b/1955.png,6426,#0050AA
Fortaleza EC,https://assets.b365api.com/images/team/b/2020.png,4127,#0D0052
Palmeiras,https://assets.b365api.com/images/team/b/1963.png,1287,#03723C
Bragantino,https://assets.b365api.com/images/team/b/1999.png,3165,#F20000
Flamengo,https://assets.b365api.com/images/team/b/5981.png,1339,#D6001C
Botafogo,https://assets.b365api.com/images/team/b/1958.png,2051,#000000
Cuiaba,https://assets.b365api.com/images/team/b/49202.png,1308,#00843D
